id,transdate,description,amount,category,accountname
2639,3-Mar-10,,-13.29,Groceries,CAD CHECKING
2640,3-Mar-10,,-2.78,Groceries,CAD CHECKING
2641,4-Mar-10,,-8.4,Alcohol & Bars,CAD CHECKING
2642,5-Mar-10,,38.5,Transfer,CAD CHECKING
2643,5-Mar-10,,-8.19,Groceries,CAD CHECKING
2644,5-Mar-10,,-8.4,Fast Food,CAD CHECKING
2645,6-Mar-10,,-6.22,Fast Food,CAD CHECKING
2646,6-Mar-10,,-8,Entertainment,CAD CHECKING
2647,6-Mar-10,,-3.47,Electronics & Software,CAD CHECKING
2648,6-Mar-10,,-9.84,Coffee Shops,CAD CHECKING
2649,7-Mar-10,,-124,Restaurants,CAD CREDIT CARD
2650,7-Mar-10,,-10.85,Coffee Shops,CAD CHECKING
2651,8-Mar-10,,-19.71,Personal Care,CAD CHECKING
2652,8-Mar-10,,-40,Restaurants,CAD CREDIT CARD
2653,8-Mar-10,,-12.94,Groceries,CAD CHECKING
2654,8-Mar-10,,-7.02,Coffee Shops,CAD CHECKING
2655,9-Mar-10,,-45,Entertainment,CAD CREDIT CARD
2656,10-Mar-10,,-4.91,Coffee Shops,CAD CHECKING
2657,10-Mar-10,,-16.73,Entertainment,CAD CREDIT CARD
2658,12-Mar-10,,-5.53,Groceries,CAD CHECKING
2659,12-Mar-10,,-10.88,Fast Food,CAD CHECKING
2660,12-Mar-10,,-11.07,Groceries,CAD CHECKING
2661,13-Mar-10,,-5.3,Groceries,CAD CHECKING
2662,13-Mar-10,,-17.84,Restaurants,CAD CHECKING
2663,14-Mar-10,,-9.13,Coffee Shops,CAD CHECKING
2664,14-Mar-10,,-8.8,Fast Food,CAD CHECKING
2665,15-Mar-10,,-24.45,Laundry,CAD CHECKING
2666,15-Mar-10,,-85,Alcohol & Bars,CAD CHECKING
2667,15-Mar-10,,-6.01,Coffee Shops,CAD CHECKING
2668,15-Mar-10,,-8.83,Coffee Shops,CAD CHECKING
2669,16-Mar-10,,1630.64,Paycheck,CAD CHECKING
2670,17-Mar-10,,-15.44,Groceries,CAD CHECKING
2671,17-Mar-10,,-18.2,Transportation,CAD CHECKING
2672,18-Mar-10,,-14.66,Alcohol & Bars,CAD CHECKING
2673,18-Mar-10,,-6.95,Coffee Shops,CAD CHECKING
2674,19-Mar-10,,-5,Transportation,CAD CHECKING
2675,19-Mar-10,,-13.8,Transportation,CAD CHECKING
2676,19-Mar-10,,-9.83,Laundry,CAD CHECKING
2677,19-Mar-10,,-114,Utilities,CAD CHECKING
2678,19-Mar-10,,-678,Paycheck,CAD CHECKING
2679,20-Mar-10,,-156,Credit Card Payment,CAD CHECKING
2680,20-Mar-10,,-10.09,Coffee Shops,CAD CHECKING
2681,20-Mar-10,,-10.47,Transportation,CAD CREDIT CARD
2682,21-Mar-10,,-5.29,Coffee Shops,CAD CHECKING
2683,21-Mar-10,,-1.77,Misc Expenses,CAD CHECKING
2684,21-Mar-10,,-21,Alcohol & Bars,CAD CHECKING
2685,21-Mar-10,,-38,Utilities,CAD CHECKING
2686,21-Mar-10,,162,Credit Card Payment,CAD CREDIT CARD
2687,21-Mar-10,,-1.18,Electronics & Software,CAD CREDIT CARD
2688,21-Mar-10,,-11.93,Groceries,CAD CHECKING
2689,22-Mar-10,,-23.2,Electronics & Software,CAD CHECKING
2690,22-Mar-10,,-27.36,Groceries,CAD CHECKING
2691,22-Mar-10,,-4.33,Coffee Shops,CAD CHECKING
2692,23-Mar-10,,-9.33,Coffee Shops,CAD CHECKING
2693,24-Mar-10,,-29.12,Alcohol & Bars,CAD CHECKING
2694,24-Mar-10,,-3.31,Fast Food,CAD CHECKING
2695,25-Mar-10,,-0.81,Electronics & Software,CAD CREDIT CARD
2696,25-Mar-10,,-1.86,Transportation,CAD CHECKING
2697,25-Mar-10,,-874,Mortgage & Rent,CAD CHECKING
2698,26-Mar-10,,-32.8,Groceries,CAD CHECKING
2699,26-Mar-10,,-21.32,Restaurants,CAD CHECKING
2700,28-Mar-10,,-13,Alcohol & Bars,CAD CHECKING
2701,28-Mar-10,,-14.18,Groceries,CAD CHECKING
2702,28-Mar-10,,-1.3,Fast Food,CAD CHECKING
2703,28-Mar-10,,-7.49,Fast Food,CAD CHECKING
2704,29-Mar-10,,-7.27,Fast Food,CAD CHECKING
2705,29-Mar-10,,-6.48,Groceries,CAD CHECKING
2706,29-Mar-10,,-33.83,Groceries,CAD CHECKING
2707,30-Mar-10,,-7.97,Restaurants,CAD CHECKING
2708,30-Mar-10,,0.05,Interest Income,CAD TFSA
2709,30-Mar-10,,-1.1,Fast Food,CAD CHECKING
2710,30-Mar-10,,-5.81,Electronics & Software,CAD CREDIT CARD
2711,31-Mar-10,,-1.14,Fast Food,CAD CHECKING
2712,1-Apr-10,,1604.34,Paycheck,CAD CHECKING
2713,1-Apr-10,,-18,Restaurants,CAD CREDIT CARD
2714,1-Apr-10,,-152.26,Credit Card Payment,CAD CHECKING
2715,2-Apr-10,,-6.37,Fast Food,CAD CHECKING
2716,2-Apr-10,,-17.9,Groceries,CAD CHECKING
2717,2-Apr-10,,-31.5,Electronics & Software,CAD CHECKING
2718,3-Apr-10,,161.81,Taxes,CAD CHECKING
2719,3-Apr-10,,-2.4,Fast Food,CAD CHECKING
2720,3-Apr-10,,-23.43,Utilities,CAD CHECKING
2721,3-Apr-10,,-9,Transportation,CAD CHECKING
2722,3-Apr-10,,-5.73,Fast Food,CAD CHECKING
2723,4-Apr-10,,-59,Utilities,CAD CHECKING
2724,4-Apr-10,,-3.81,Personal Care,CAD CHECKING
2725,4-Apr-10,,-22.34,Clothing,CAD CHECKING
2726,4-Apr-10,,-29.74,Groceries,CAD CHECKING
2727,4-Apr-10,,-1.4,Fast Food,CAD CHECKING
2728,4-Apr-10,,-2.45,Misc Expenses,CAD CHECKING
2729,4-Apr-10,,-4.76,Fast Food,CAD CHECKING
2730,5-Apr-10,,-1.4,Fast Food,CAD CHECKING
2731,5-Apr-10,,-26.82,Alcohol & Bars,CAD CHECKING
2732,5-Apr-10,,-2.68,Fast Food,CAD CHECKING
2733,5-Apr-10,,-2.3,Fast Food,CAD CHECKING
2734,5-Apr-10,,-92,Transfer,CAD TFSA
2735,5-Apr-10,,-3617.89,Transfer,CAD CHECKING
2736,5-Apr-10,,-142.7,Health & Fitness,CAD CHECKING
2737,6-Apr-10,,-1.42,Clothing,CAD CHECKING
2738,7-Apr-10,,107.93,Credit Card Payment,CAD CREDIT CARD
2739,7-Apr-10,,-1.68,Misc Expenses,CAD CREDIT CARD
2740,7-Apr-10,,-2.8,Misc Expenses,CAD CREDIT CARD
2741,7-Apr-10,,-3.6,Misc Expenses,CAD CREDIT CARD
2742,8-Apr-10,,-20.82,Electronics & Software,CAD CHECKING
2743,8-Apr-10,,-30,Gift,CAD CREDIT CARD
2744,8-Apr-10,,-1.6,Transportation,CAD CHECKING
2745,9-Apr-10,,62.7,Paycheck,CAD CHECKING
2746,9-Apr-10,,-38.3,Travel,CAD CREDIT CARD
2747,9-Apr-10,,-14.21,Groceries,CAD CHECKING
2748,9-Apr-10,,-7.29,Fast Food,CAD CHECKING
2749,10-Apr-10,,-7.74,Fast Food,CAD CHECKING
2750,10-Apr-10,,-11.08,Fast Food,CAD CHECKING
2751,10-Apr-10,,-2.2,Transportation,CAD CHECKING
2752,10-Apr-10,,-35.25,Groceries,CAD CHECKING
2753,12-Apr-10,,-3,Fast Food,CAD CHECKING
2754,12-Apr-10,,-5.81,Fast Food,CAD CHECKING
2755,12-Apr-10,,-31,Coffee Shops,CAD CHECKING
2756,14-Apr-10,,-12.94,Coffee Shops,CAD CHECKING
2757,14-Apr-10,,2786.73,Taxes,CAD CHECKING
2758,14-Apr-10,,39.9,Paycheck,CAD CHECKING
2759,15-Apr-10,,-6.8,Fast Food,CAD CHECKING
2760,15-Apr-10,,1196.68,Paycheck,CAD CHECKING
2761,15-Apr-10,,-3.8,Groceries,CAD CHECKING
2762,15-Apr-10,,-9,Fast Food,CAD CHECKING
2763,16-Apr-10,,-10.35,Groceries,CAD CHECKING
2764,16-Apr-10,,-5.88,Fast Food,CAD CHECKING
2765,16-Apr-10,,-5,Education,CAD CREDIT CARD
2766,17-Apr-10,,-4760,Transfer,CAD CHECKING
2767,17-Apr-10,,-0.77,Fast Food,CAD CHECKING
2768,17-Apr-10,,-18.43,Coffee Shops,CAD CHECKING
2769,18-Apr-10,,-18.58,Alcohol & Bars,CAD CHECKING
2770,18-Apr-10,,-31.3,Personal Care,CAD CHECKING
2771,18-Apr-10,,-0.89,Fast Food,CAD CHECKING
2772,18-Apr-10,,-41.21,Entertainment,CAD CHECKING
2773,19-Apr-10,,-2.58,Fast Food,CAD CHECKING
2774,19-Apr-10,,-21.45,Groceries,CAD CHECKING
2775,20-Apr-10,,-1.62,Fast Food,CAD CHECKING
2776,20-Apr-10,,-10.34,Fast Food,CAD CHECKING
2777,20-Apr-10,,-4.6,Fast Food,CAD CHECKING
2778,20-Apr-10,,-12,Alcohol & Bars,CAD CHECKING
2779,20-Apr-10,,-24,Restaurants,CAD CHECKING
2780,20-Apr-10,,-23.22,Alcohol & Bars,CAD CREDIT CARD
2781,20-Apr-10,,-210,Entertainment,CAD CHECKING
2782,21-Apr-10,,-7,Entertainment,CAD CHECKING
2783,21-Apr-10,,-20,Restaurants,CAD CREDIT CARD
2784,21-Apr-10,,-5.8,Fast Food,CAD CHECKING
2785,21-Apr-10,,-21.32,Hair,CAD CHECKING
2786,22-Apr-10,,168,Entertainment,CAD CHECKING
2787,22-Apr-10,,-5,Hair,CAD CHECKING
2788,22-Apr-10,,-33.95,Groceries,CAD CHECKING
2789,22-Apr-10,,-41,Alcohol & Bars,CAD CHECKING
2790,22-Apr-10,,-14.91,Groceries,CAD CHECKING
2791,23-Apr-10,,-1.61,Gas & Fuel,CAD CHECKING
2792,23-Apr-10,,-12,Entertainment,CAD CHECKING
2793,24-Apr-10,,-36.65,Groceries,CAD CHECKING
2794,25-Apr-10,,1176,Paycheck,CAD CHECKING
2795,25-Apr-10,,-1.33,Misc Expenses,CAD CREDIT CARD
2796,25-Apr-10,,-6.26,Coffee Shops,CAD CHECKING
2797,26-Apr-10,,-1.98,Fast Food,CAD CHECKING
2798,27-Apr-10,,-26.59,Groceries,CAD CHECKING
2799,27-Apr-10,,-3.02,Electronics & Software,CAD CREDIT CARD
2800,29-Apr-10,,-24.1,Restaurants,CAD CHECKING
2801,29-Apr-10,,1946.24,Paycheck,CAD CHECKING
2802,29-Apr-10,,-7.7,Alcohol & Bars,CAD CHECKING
2803,30-Apr-10,,-10.36,Coffee Shops,CAD CHECKING
2804,30-Apr-10,,-24.03,Alcohol & Bars,CAD CHECKING
2805,30-Apr-10,,-8,Transportation,CAD CHECKING
2806,30-Apr-10,,-760,Mortgage & Rent,CAD CHECKING
2807,30-Apr-10,,-29,Entertainment,CAD CHECKING
2808,1-May-10,,-7,Transportation,CAD CHECKING
2809,1-May-10,,-3.36,Coffee Shops,CAD CHECKING
2810,1-May-10,,-18.5,Transportation,CAD CHECKING
2811,2-May-10,,0.02,Interest Income,CAD TFSA
2812,2-May-10,,-2.2,Fast Food,CAD CHECKING
2813,4-May-10,,-8.38,Coffee Shops,CAD CHECKING
2814,4-May-10,,-14,Restaurants,CAD CHECKING
2815,5-May-10,,-4.32,Coffee Shops,CAD CHECKING
2816,5-May-10,,-15.22,Groceries,CAD CHECKING
2817,5-May-10,,-8.74,Fast Food,CAD CHECKING
2818,6-May-10,,-8.8,Fast Food,CAD CHECKING
2819,6-May-10,,-1.48,Electronics & Software,CAD CREDIT CARD
2820,6-May-10,,-7.33,Groceries,CAD CHECKING
2821,6-May-10,,-6.57,Fast Food,CAD CHECKING
2822,6-May-10,,-17.59,Alcohol & Bars,CAD CHECKING
2823,6-May-10,,-2.33,Fast Food,CAD CHECKING
2824,6-May-10,,-34.98,Utilities,CAD CHECKING
2825,6-May-10,,-267.41,Credit Card Payment,CAD CHECKING
2826,7-May-10,,-92,Alcohol & Bars,CAD CHECKING
2827,7-May-10,,-1.54,Fast Food,CAD CHECKING
2828,7-May-10,,-1.3,Transportation,CAD CHECKING
2829,7-May-10,,-16.3,Groceries,CAD CHECKING
2830,8-May-10,,-9,Alcohol & Bars,CAD CREDIT CARD
2831,8-May-10,,-23.67,Groceries,CAD CHECKING
2832,8-May-10,,-2.3,Fast Food,CAD CHECKING
2833,8-May-10,,-3.7,Transportation,CAD CHECKING
2834,9-May-10,,-3.35,Groceries,CAD CHECKING
2835,9-May-10,,-21.9,Alcohol & Bars,CAD CHECKING
2836,9-May-10,,-8.91,Groceries,CAD CHECKING
2837,9-May-10,,-12,Entertainment,CAD CHECKING
2838,9-May-10,,-2.4,Transportation,CAD CHECKING
2839,9-May-10,,-5.21,Transportation,CAD CHECKING
2840,10-May-10,,-22.49,Utilities,CAD CHECKING
2841,10-May-10,,136.09,Credit Card Payment,CAD CREDIT CARD
2842,10-May-10,,-1.8,Fast Food,CAD CHECKING
2843,11-May-10,,-12.66,Coffee Shops,CAD CHECKING
2844,12-May-10,,-31,Restaurants,CAD CHECKING
2845,12-May-10,,-74.54,Groceries,CAD CHECKING
2846,12-May-10,,1972.55,Paycheck,CAD CHECKING
2847,12-May-10,,-6.42,Fast Food,CAD CHECKING
2848,13-May-10,,-3.51,Fast Food,CAD CHECKING
2849,13-May-10,,-9.75,Groceries,CAD CHECKING
2850,14-May-10,,-3.35,Groceries,CAD CHECKING
2851,14-May-10,,-3.71,Fast Food,CAD CHECKING
2852,14-May-10,,-33,Restaurants,CAD CREDIT CARD
2853,14-May-10,,-39.94,Groceries,CAD CHECKING
2854,15-May-10,,-10,Coffee Shops,CAD CHECKING
2855,15-May-10,,2058.85,Paycheck,CAD CHECKING
2856,16-May-10,,-4.96,Entertainment,CAD CREDIT CARD
2857,16-May-10,,-18.84,Groceries,CAD CHECKING
2858,16-May-10,,-5.8,Coffee Shops,CAD CHECKING
2859,17-May-10,,-3.52,Fast Food,CAD CHECKING
2860,17-May-10,,-8.01,Alcohol & Bars,CAD CHECKING
2861,17-May-10,,-13.03,Groceries,CAD CHECKING
2862,19-May-10,,-4.04,Fast Food,CAD CHECKING
2863,19-May-10,,-26.17,Restaurants,CAD CREDIT CARD
2864,20-May-10,,-2.51,Fast Food,CAD CHECKING
2865,20-May-10,,-37.55,Groceries,CAD CHECKING
2866,21-May-10,,-3.7,Parking,CAD CREDIT CARD
2867,21-May-10,,-5.6,Groceries,CAD CHECKING
2868,23-May-10,,-33,Restaurants,CAD CREDIT CARD
2869,24-May-10,,-49,Travel,CAD CHECKING
2870,24-May-10,,-5.6,Fast Food,CAD CHECKING
2871,25-May-10,,-34.2,Alcohol & Bars,CAD CREDIT CARD
2872,26-May-10,,-7.02,Fast Food,CAD CHECKING
2873,26-May-10,,-8.17,Fast Food,CAD CHECKING
2874,26-May-10,,-5.3,Fast Food,CAD CHECKING
2875,27-May-10,,-1.68,Fast Food,CAD CHECKING
2876,27-May-10,,-8.66,Groceries,CAD CHECKING
2877,27-May-10,,-14,Restaurants,CAD CREDIT CARD
2878,27-May-10,,-4.45,Fast Food,CAD CHECKING
2879,27-May-10,,-1.73,Entertainment,CAD CHECKING
2880,28-May-10,,-3.19,Groceries,CAD CHECKING
2881,29-May-10,,-198,Restaurants,CAD CHECKING
2882,30-May-10,,-8.08,Fast Food,CAD CHECKING
2883,30-May-10,,-19.1,Restaurants,CAD CHECKING
2884,30-May-10,,-810,Mortgage & Rent,CAD CHECKING
2885,30-May-10,,-32.5,Alcohol & Bars,CAD CHECKING
2886,30-May-10,,1144.08,Paycheck,CAD CHECKING
2887,30-May-10,,-5.4,Misc Expenses,CAD CHECKING
2888,30-May-10,,-24,Restaurants,CAD CHECKING
2889,31-May-10,,-1.25,Fast Food,CAD CHECKING
2890,31-May-10,,-2.25,Groceries,CAD CHECKING
2891,31-May-10,,-51.02,Entertainment,CAD CREDIT CARD
2892,1-Jun-10,,-14.24,Alcohol & Bars,CAD CHECKING
2893,1-Jun-10,,-6.37,Fast Food,CAD CHECKING
2894,2-Jun-10,,-11.85,Groceries,CAD CHECKING
2895,2-Jun-10,,-30,Restaurants,CAD CREDIT CARD
2896,2-Jun-10,,-38,Restaurants,CAD CREDIT CARD
2897,3-Jun-10,,-5.7,Fast Food,CAD CHECKING
2898,3-Jun-10,,-2.6,Fast Food,CAD CHECKING
2899,3-Jun-10,,-10,Restaurants,CAD CREDIT CARD
2900,3-Jun-10,,-2.5,Fast Food,CAD CHECKING
2901,3-Jun-10,,-3.1,Fast Food,CAD CHECKING
2902,4-Jun-10,,-6.74,Fast Food,CAD CHECKING
2903,4-Jun-10,,-60,Alcohol & Bars,CAD CHECKING
2904,4-Jun-10,,-271.7,Credit Card Payment,CAD CHECKING
2905,5-Jun-10,,-45.14,Restaurants,CAD CHECKING
2906,5-Jun-10,,-11.24,Coffee Shops,CAD CHECKING
2907,6-Jun-10,,16.82,Paycheck,CAD CHECKING
2908,6-Jun-10,,-21,Restaurants,CAD CREDIT CARD
2909,6-Jun-10,,-12.19,Groceries,CAD CHECKING
2910,6-Jun-10,,-58.02,Utilities,CAD CHECKING
2911,6-Jun-10,,-11.11,Transportation,CAD CREDIT CARD
2912,6-Jun-10,,-26,Alcohol & Bars,CAD CREDIT CARD
2913,7-Jun-10,,-2.6,Fast Food,CAD CHECKING
2914,8-Jun-10,,-27.15,Utilities,CAD CHECKING
2915,8-Jun-10,,-21.5,Groceries,CAD CHECKING
2916,8-Jun-10,,-22.94,Groceries,CAD CHECKING
2917,8-Jun-10,,-33,Alcohol & Bars,CAD CHECKING
2918,9-Jun-10,,254.3,Credit Card Payment,CAD CREDIT CARD
2919,10-Jun-10,,-8.34,Coffee Shops,CAD CHECKING
2920,10-Jun-10,,-1.05,Electronics & Software,CAD CREDIT CARD
2921,10-Jun-10,,-0.8,Fast Food,CAD CHECKING
2922,10-Jun-10,,-18.27,Personal Care,CAD CHECKING
2923,12-Jun-10,,-3.56,Groceries,CAD CHECKING
2924,12-Jun-10,,-7.49,Fast Food,CAD CHECKING
2925,12-Jun-10,,-2.99,Fast Food,CAD CHECKING
2926,12-Jun-10,,-3,Transportation,CAD CHECKING
2927,12-Jun-10,,-5.3,Gas & Fuel,CAD CHECKING
2928,12-Jun-10,,-13.92,Coffee Shops,CAD CHECKING
2929,13-Jun-10,,-21.76,Groceries,CAD CHECKING
2930,13-Jun-10,,-41,Restaurants,CAD CREDIT CARD
2931,13-Jun-10,,670.67,Paycheck,CAD CHECKING
2932,14-Jun-10,,-1.3,Fast Food,CAD CHECKING
2933,14-Jun-10,,-4,Entertainment,CAD CHECKING
2934,14-Jun-10,,-4.35,Coffee Shops,CAD CHECKING
2935,15-Jun-10,,-1.6,Transportation,CAD CHECKING
2936,15-Jun-10,,-12.43,Groceries,CAD CHECKING
2937,15-Jun-10,,-5388.2,Paycheck,CAD CHECKING
2938,16-Jun-10,,-1,Entertainment,CAD CHECKING
2939,16-Jun-10,,-7.7,Coffee Shops,CAD CHECKING
2940,16-Jun-10,,-13,Coffee Shops,CAD CHECKING
2941,17-Jun-10,,-9.8,Groceries,CAD CHECKING
2942,17-Jun-10,,-2.83,Fast Food,CAD CHECKING
2943,17-Jun-10,,-9.06,Coffee Shops,CAD CHECKING
2944,18-Jun-10,,-9.31,Personal Care,CAD CHECKING
2945,19-Jun-10,,-1.58,Fast Food,CAD CHECKING
2946,19-Jun-10,,6.8,Paycheck,CAD CHECKING
2947,19-Jun-10,,-1.96,Personal Care,CAD CHECKING
2948,19-Jun-10,,-5.89,Fast Food,CAD CHECKING
2949,19-Jun-10,,-9,Entertainment,CAD CREDIT CARD
2950,19-Jun-10,,-18.04,Restaurants,CAD CHECKING
2951,19-Jun-10,,-21.18,Groceries,CAD CHECKING
2952,19-Jun-10,,-14.3,Entertainment,CAD CREDIT CARD
2953,21-Jun-10,,-5.79,Fast Food,CAD CHECKING
2954,22-Jun-10,,-3.33,Fast Food,CAD CHECKING
2955,22-Jun-10,,-1.8,Fast Food,CAD CHECKING
2956,22-Jun-10,,-6.5,Restaurants,CAD CHECKING
2957,22-Jun-10,,-1.1,Groceries,CAD CHECKING
2958,22-Jun-10,,-2.6,Transportation,CAD CHECKING
2959,23-Jun-10,,-10.7,Coffee Shops,CAD CHECKING
2960,23-Jun-10,,-9.18,Coffee Shops,CAD CHECKING
2961,23-Jun-10,,-3,Hair,CAD CHECKING
2962,24-Jun-10,,-2.11,Misc Expenses,CAD CHECKING
2963,24-Jun-10,,-2.8,Transportation,CAD CHECKING
2964,25-Jun-10,,-6.46,Coffee Shops,CAD CHECKING
2965,25-Jun-10,,-32.34,Hair,CAD CHECKING
2966,25-Jun-10,,4221.8,Paycheck,CAD CHECKING
2967,25-Jun-10,,-8.16,Coffee Shops,CAD CHECKING
2968,26-Jun-10,,-6.73,Fast Food,CAD CHECKING
2969,26-Jun-10,,-5.48,Groceries,CAD CHECKING
2970,26-Jun-10,,-12.72,Restaurants,CAD CHECKING
2971,27-Jun-10,,-2.4,Transportation,CAD CHECKING
2972,27-Jun-10,,-3.71,Transportation,CAD CHECKING
2973,27-Jun-10,,-1.8,Fast Food,CAD CHECKING
2974,27-Jun-10,,-1.7,Fast Food,CAD CHECKING
2975,27-Jun-10,,-3.42,Fast Food,CAD CHECKING
2976,27-Jun-10,,-4.96,Coffee Shops,CAD CHECKING
2977,28-Jun-10,,-4.25,Fast Food,CAD CHECKING
2978,28-Jun-10,,-7.53,Personal Care,CAD CHECKING
2979,28-Jun-10,,-6.35,Groceries,CAD CHECKING
2980,28-Jun-10,,-6.8,Fast Food,CAD CHECKING
2981,29-Jun-10,,-7.89,Coffee Shops,CAD CHECKING
2982,29-Jun-10,,-3.5,Transportation,CAD CHECKING
2983,29-Jun-10,,-10.94,Coffee Shops,CAD CHECKING
2984,30-Jun-10,,1445.91,Paycheck,CAD CHECKING
2985,30-Jun-10,,-2.75,Fast Food,CAD CHECKING
2986,1-Jul-10,,-600,Mortgage & Rent,CAD CHECKING
2987,1-Jul-10,,-12,Groceries,CAD CHECKING
2988,2-Jul-10,,-10.08,Fast Food,CAD CHECKING
2989,2-Jul-10,,-24.18,Groceries,CAD CHECKING
2990,2-Jul-10,,-2.82,Fast Food,CAD CHECKING
2991,2-Jul-10,,-1.87,Fast Food,CAD CHECKING
2992,2-Jul-10,,-6.86,Fast Food,CAD CHECKING
2993,3-Jul-10,,-3.69,Fast Food,CAD CHECKING
2994,3-Jul-10,,-1.59,Fast Food,CAD CHECKING
2995,4-Jul-10,,-16.21,Alcohol & Bars,CAD CHECKING
2996,4-Jul-10,,-2.43,Fast Food,CAD CHECKING
2997,4-Jul-10,,-2.17,Fast Food,CAD CHECKING
2998,4-Jul-10,,-5.87,Coffee Shops,CAD CHECKING
2999,4-Jul-10,,-12.06,Groceries,CAD CHECKING
3000,5-Jul-10,,-2.4,Transportation,CAD CHECKING
3001,5-Jul-10,,-5.34,Personal Care,CAD CHECKING
3002,5-Jul-10,,-28,Restaurants,CAD CHECKING
3003,5-Jul-10,,204.06,Taxes,CAD CHECKING
3004,5-Jul-10,,-10.29,Fast Food,CAD CHECKING
3005,5-Jul-10,,-5.16,Fast Food,CAD CHECKING
3006,5-Jul-10,,-1.64,Fast Food,CAD CHECKING
3007,5-Jul-10,,-1.77,Fast Food,CAD CHECKING
3008,6-Jul-10,,-3.5,Transportation,CAD CHECKING
3009,7-Jul-10,,-26,Restaurants,CAD CREDIT CARD
3010,7-Jul-10,,-5.2,Fast Food,CAD CHECKING
3011,7-Jul-10,,-18,Alcohol & Bars,CAD CREDIT CARD
3012,7-Jul-10,,-0.99,Fast Food,CAD CHECKING
3013,7-Jul-10,,-2.9,Transportation,CAD CHECKING
3014,8-Jul-10,,-19.94,Restaurants,CAD CREDIT CARD
3015,8-Jul-10,,-43.67,Clothing,CAD CHECKING
3016,8-Jul-10,,-101.9,Clothing,CAD CHECKING
3017,8-Jul-10,,-2.15,Fast Food,CAD CHECKING
3018,9-Jul-10,,-1.64,Fast Food,CAD CHECKING
3019,9-Jul-10,,-720.06,Furnishings,CAD CHECKING
3020,9-Jul-10,,-56.83,Entertainment,CAD CREDIT CARD
3021,9-Jul-10,,-2.42,Fast Food,CAD CHECKING
3022,10-Jul-10,,-18.7,Groceries,CAD CHECKING
3023,10-Jul-10,,-33.84,Groceries,CAD CHECKING
3024,10-Jul-10,,-1.32,Electronics & Software,CAD CREDIT CARD
3025,10-Jul-10,,-13.4,Groceries,CAD CHECKING
3026,10-Jul-10,,-3.69,Fast Food,CAD CHECKING
3027,10-Jul-10,,-7.93,Fast Food,CAD CHECKING
3028,10-Jul-10,,-10.09,Coffee Shops,CAD CHECKING
3029,10-Jul-10,,-15.18,Alcohol & Bars,CAD CHECKING
3030,11-Jul-10,,-45.52,Groceries,CAD CHECKING
3031,12-Jul-10,,-13.52,Groceries,CAD CHECKING
3032,12-Jul-10,,-120.12,Clothing,CAD CHECKING
3033,12-Jul-10,,-2.76,Fast Food,CAD CHECKING
3034,13-Jul-10,,-32,Alcohol & Bars,CAD CHECKING
3035,13-Jul-10,,-2.57,Fast Food,CAD CHECKING
3036,13-Jul-10,,-37.37,Restaurants,CAD CREDIT CARD
3037,13-Jul-10,,-2.94,Fast Food,CAD CHECKING
3038,14-Jul-10,,-10.45,Groceries,CAD CHECKING
3039,14-Jul-10,,-1.52,Fast Food,CAD CHECKING
3040,14-Jul-10,,-7.85,Coffee Shops,CAD CHECKING
3041,15-Jul-10,,1170.38,Paycheck,CAD CHECKING
3042,15-Jul-10,,-3.03,Fast Food,CAD CHECKING
3043,15-Jul-10,,-4.1,Fast Food,CAD CHECKING
3044,16-Jul-10,,-8.42,Fast Food,CAD CHECKING
3045,16-Jul-10,,-9.87,Groceries,CAD CHECKING
3046,16-Jul-10,,-3.74,Fast Food,CAD CHECKING
3047,17-Jul-10,,-7.62,Restaurants,CAD CHECKING
3048,17-Jul-10,,3760,Transfer,CAD CHECKING
3049,17-Jul-10,,-6.3,Fast Food,CAD CHECKING
3050,17-Jul-10,,-6.46,Laundry,CAD CHECKING
3051,17-Jul-10,,-15.78,Groceries,CAD CHECKING
3052,17-Jul-10,,-1026.22,Furnishings,CAD CREDIT CARD
3053,18-Jul-10,,-2.33,Fast Food,CAD CHECKING
3054,18-Jul-10,,-7.2,Coffee Shops,CAD CHECKING
3055,18-Jul-10,,-106.9,Utilities,CAD CHECKING
3056,18-Jul-10,,15.8,Groceries,CAD CHECKING
3057,18-Jul-10,,-2.7,Transportation,CAD CHECKING
3058,19-Jul-10,,-19.51,Fast Food,CAD CHECKING
3059,19-Jul-10,,-8.03,Groceries,CAD CHECKING
3060,19-Jul-10,,-2700,Credit Card Payment,CAD CHECKING
3061,19-Jul-10,,2475,Credit Card Payment,CAD CREDIT CARD
3062,19-Jul-10,,-9.32,Coffee Shops,CAD CHECKING
3063,19-Jul-10,,-2.2,Transportation,CAD CHECKING
3064,20-Jul-10,,-3.3,Transportation,CAD CHECKING
3065,20-Jul-10,,-34.34,Utilities,CAD CHECKING
3066,20-Jul-10,,-296.45,Furnishings,CAD CHECKING
3067,20-Jul-10,,-11.56,Coffee Shops,CAD CHECKING
3068,20-Jul-10,,-10.25,Groceries,CAD CHECKING
3069,21-Jul-10,,-1.16,Fast Food,CAD CHECKING
3070,21-Jul-10,,-10.33,Fast Food,CAD CHECKING
3071,22-Jul-10,,-12.64,Alcohol & Bars,CAD CHECKING
3072,23-Jul-10,,-4.94,Fast Food,CAD CHECKING
3073,23-Jul-10,,-3.86,Fast Food,CAD CHECKING
3074,23-Jul-10,,-16.2,Transportation,CAD CHECKING
3075,23-Jul-10,,-7,Entertainment,CAD CHECKING
